record_id,date,ceo_id,first_name,last_name,date_of_birth,total_revenue,total_expenses,state,postal_codes,compani_name,industry,email
480,2018-12-31,1014,Isaiah,Rodriguez,1952-09-11,493.05,200.0,Florida,10876,Gilbert Ltd,Retail,isaiah.rodriguez@Gilbert.com
1672,2019-04-30,1047,Tonya,Bell,1969-05-15,492.14,203.0,New Yoke,92883,Brown-Spencer,IT,tonya.bell@Brown.com
1590,2018-06-30,1045,Tiffany,Nelson,1963-12-05,505.41,205.0,Florida,92228,Butler-Scott,Education,tiffany.nelson@Butler.edu
1506,2020-06-30,1042,Tammy,Fowler,1988-12-09,508.35,195.0,Florida,95239,"Rodriguez, Figueroa and Sanchez",Financial,tammy.fowler@Rodriguez.net
1644,2019-12-31,1046,Tim,Beasley,1950-08-16,488.64,194.0,New Yoke,90626,Ross PLC,IT,tim.beasley@Ross.io
269,2019-05-31,1008,Christopher,Perez,1960-11-07,502.76,199.0,Florida,11858,Wood Group,Oil and Gas,christopher.perez@Wood.io
961,2020-01-31,1027,Mary,Wong,1989-07-22,501.04,203.0,Florida,13932,"Castillo, Ramirez and Mitchell",Oil and Gas,mary.wong@Castillo.net
927,2020-03-31,1026,Marcus,Burgess,1996-04-12,497.14,205.0,New Yoke,11661,"Knox, Keller and Reynolds",Financial,marcus.burgess@Knox.com
1747,2019-07-31,1049,Tyler,Jones,1949-12-23,501.36,202.0,California,90548,Cooper Inc,Education,tyler.jones@Cooper.edu
1557,2018-09-30,1044,Theresa,Ortiz,1973-03-24,498.43,199.0,Pennsylvania,93347,Meyer-Miles,Financial,theresa.ortiz@Meyer.net
538,2020-10-31,1015,Jacqueline,Sanford,1959-08-25,496.47,196.0,New Yoke,11712,Smith Ltd,Retail,jacqueline.sanford@Smith.net
1136,2019-08-31,1032,Michael,Jones,1950-09-11,495.62,194.0,Florida,10635,House and Sons,Oil and Gas,michael.jones@House.com
1784,2019-08-31,1050,Vincent,Jimenez,1979-04-14,493.44,203.0,New Yoke,94076,Foley-Diaz,Oil and Gas,vincent.jimenez@Foley.com
563,2019-11-30,1016,James,Ward,1970-01-10,513.86,194.0,Texas,12962,Harrison-Mitchell,Retail,james.ward@Harrison.net
1043,2020-11-30,1029,Melissa,Kelley,1982-09-22,504.81,191.0,Florida,14491,"Jones, George and Obrien",Retail,melissa.kelley@Jones.net
303,2019-03-31,1009,Darrell,Ford,1976-12-07,491.7,192.0,Pennsylvania,13793,Austin-Adams,Education,darrell.ford@Austin.edu
1554,2018-06-30,1044,Theresa,Ortiz,1973-03-24,507.84,195.0,Pennsylvania,93347,Meyer-Miles,Financial,theresa.ortiz@Meyer.net
1446,2018-06-30,1041,Sarah,James,1971-05-10,521.53,205.0,New Yoke,93122,Cook-Riddle,Oil and Gas,sarah.james@Cook.net
1798,2020-10-31,1050,Vincent,Jimenez,1979-04-14,519.99,194.0,New Yoke,94076,Foley-Diaz,Oil and Gas,vincent.jimenez@Foley.com
1532,2019-08-31,1043,Taylor,Johnson,1948-01-19,476.82,195.0,Pennsylvania,90316,Mitchell and Sons,IT,taylor.johnson@Mitchell.com
1503,2020-03-31,1042,Tammy,Fowler,1988-12-09,497.29,205.0,Florida,95239,"Rodriguez, Figueroa and Sanchez",Financial,tammy.fowler@Rodriguez.net
268,2019-04-30,1008,Christopher,Perez,1960-11-07,502.62,193.0,Florida,11858,Wood Group,Oil and Gas,christopher.perez@Wood.io
1037,2020-05-31,1029,Melissa,Kelley,1982-09-22,525.65,187.0,Florida,14491,"Jones, George and Obrien",Retail,melissa.kelley@Jones.net
1424,2019-08-31,1040,Sara,Ellis,1976-08-19,487.63,200.0,Florida,93757,Riley-Warren,Retail,sara.ellis@Riley.net
1420,2019-04-30,1040,Sara,Ellis,1976-08-19,509.42,206.0,Florida,93757,Riley-Warren,Retail,sara.ellis@Riley.net
1388,2019-08-31,1039,Samantha,Clark,1959-09-15,519.84,185.0,Texas,91720,Green Inc,Retail,samantha.clark@Green.net
555,2019-03-31,1016,James,Ward,1970-01-10,498.57,196.0,Texas,12962,Harrison-Mitchell,Retail,james.ward@Harrison.net
1005,2020-09-30,1028,Mary,Rodriguez,1953-02-10,484.89,195.0,Texas,10926,Newton PLC,Education,mary.rodriguez@Newton.edu
1265,2018-05-31,1036,Rachel,Murphy,1967-10-17,503.29,204.0,California,12693,Brown-Smith,Education,rachel.murphy@Brown.edu
1580,2020-08-31,1044,Theresa,Ortiz,1973-03-24,502.13,197.0,Pennsylvania,93347,Meyer-Miles,Financial,theresa.ortiz@Meyer.net
1561,2019-01-31,1044,Theresa,Ortiz,1973-03-24,497.52,185.0,Pennsylvania,93347,Meyer-Miles,Financial,theresa.ortiz@Meyer.net
1350,2019-06-30,1038,Ricky,Fowler,1988-12-10,514.31,199.0,Texas,95239,"Fisher, Webster and Garcia",Education,ricky.fowler@Fisher.edu
404,2018-08-31,1012,David,Wells,1977-09-20,512.33,197.0,Florida,13888,Adams-Rice,IT,david.wells@Adams.net
76,2018-04-30,1003,Brenda,Young,1961-08-14,479.78,211.0,California,11950,Watkins and Sons,Retail,brenda.young@Watkins.net
337,2019-01-31,1010,David,Duncan,1984-04-23,479.63,206.0,Texas,14681,"Johnson, Olson and Smith",Education,david.duncan@Johnson.edu
874,2018-10-31,1025,Kristin,Bennett,1971-01-29,514.18,211.0,Pennsylvania,13089,Mack-Bridges,IT,kristin.bennett@Mack.io
1553,2018-05-31,1044,Theresa,Ortiz,1973-03-24,492.22,202.0,Pennsylvania,93347,Meyer-Miles,Financial,theresa.ortiz@Meyer.net
1764,2020-12-31,1049,Tyler,Jones,1949-12-23,506.08,202.0,California,90548,Cooper Inc,Education,tyler.jones@Cooper.edu
407,2018-11-30,1012,David,Wells,1977-09-20,478.58,194.0,Florida,13888,Adams-Rice,IT,david.wells@Adams.net
436,2018-04-30,1013,Fred,Green,1963-01-19,499.5,193.0,California,12122,Roberts-Blankenship,Oil and Gas,fred.green@Roberts.net
727,2018-07-31,1021,Joseph,Martin,1956-08-25,501.08,195.0,Texas,11352,Butler Group,Retail,joseph.martin@Butler.com
750,2020-06-30,1021,Joseph,Martin,1956-08-25,492.75,202.0,Texas,11352,Butler Group,Retail,joseph.martin@Butler.com
1087,2018-07-31,1031,Melissa,Smith,1946-04-06,498.0,209.0,California,10101,Harrison Group,Education,melissa.smith@Harrison.edu
1744,2019-04-30,1049,Tyler,Jones,1949-12-23,500.84,199.0,California,90548,Cooper Inc,Education,tyler.jones@Cooper.edu
1383,2019-03-31,1039,Samantha,Clark,1959-09-15,478.39,183.0,Texas,91720,Green Inc,Retail,samantha.clark@Green.net
449,2019-05-31,1013,Fred,Green,1963-01-19,496.15,198.0,California,12122,Roberts-Blankenship,Oil and Gas,fred.green@Roberts.net
103,2020-07-31,1003,Brenda,Young,1961-08-14,504.03,192.0,California,11950,Watkins and Sons,Retail,brenda.young@Watkins.net
1440,2020-12-31,1040,Sara,Ellis,1976-08-19,509.14,196.0,Florida,93757,Riley-Warren,Retail,sara.ellis@Riley.net
810,2019-06-30,1023,Kenneth,Buckley,1965-02-25,515.55,192.0,Florida,12375,Stafford-Miller,Oil and Gas,kenneth.buckley@Stafford.com
1654,2020-10-31,1046,Tim,Beasley,1950-08-16,508.34,201.0,New Yoke,90626,Ross PLC,IT,tim.beasley@Ross.io
514,2018-10-31,1015,Jacqueline,Sanford,1959-08-25,488.36,201.0,New Yoke,11712,Smith Ltd,Retail,jacqueline.sanford@Smith.net
944,2018-08-31,1027,Mary,Wong,1989-07-22,518.13,193.0,Florida,13932,"Castillo, Ramirez and Mitchell",Oil and Gas,mary.wong@Castillo.net
178,2020-10-31,1005,Brittany,Dean,1987-10-25,497.13,198.0,Florida,12093,"Scott, Howard and Vaughn",IT,brittany.dean@Scott.io
1453,2019-01-31,1041,Sarah,James,1971-05-10,501.86,203.0,New Yoke,93122,Cook-Riddle,Oil and Gas,sarah.james@Cook.net
1714,2019-10-31,1048,Tyler,Kelley,1982-09-23,477.37,212.0,New Yoke,94491,"Stewart, Hawkins and Nichols",Retail,tyler.kelley@Stewart.com
1748,2019-08-31,1049,Tyler,Jones,1949-12-23,510.73,201.0,California,90548,Cooper Inc,Education,tyler.jones@Cooper.edu
387,2020-03-31,1011,David,Chavez,1976-03-17,498.84,211.0,Texas,13706,Glenn-Vincent,Retail,david.chavez@Glenn.io
1690,2020-10-31,1047,Tonya,Bell,1969-05-15,494.83,201.0,New Yoke,92883,Brown-Spencer,IT,tonya.bell@Brown.com
1102,2019-10-31,1031,Melissa,Smith,1946-04-06,519.87,204.0,California,10101,Harrison Group,Education,melissa.smith@Harrison.edu
998,2020-02-29,1028,Mary,Rodriguez,1953-02-10,499.3,198.0,Texas,10926,Newton PLC,Education,mary.rodriguez@Newton.edu
987,2019-03-31,1028,Mary,Rodriguez,1953-02-10,502.0,200.0,Texas,10926,Newton PLC,Education,mary.rodriguez@Newton.edu
38,2018-02-28,1002,Ashley,Blanchard,1949-04-10,502.34,194.0,New Yoke,10464,Davis LLC,Education,ashley.blanchard@Davis.edu
707,2019-11-30,1020,John,Bullock,1994-08-12,486.51,204.0,Florida,11239,"Parks, Miranda and Conway",IT,john.bullock@Parks.io
1062,2019-06-30,1030,Melissa,Ryan,1982-02-09,501.87,205.0,Pennsylvania,14417,"Morton, Carr and Howell",Oil and Gas,melissa.ryan@Morton.com
1651,2020-07-31,1046,Tim,Beasley,1950-08-16,488.97,191.0,New Yoke,90626,Ross PLC,IT,tim.beasley@Ross.io
598,2019-10-31,1017,Jesse,Boyd,1980-12-11,509.86,196.0,,14277,"Perry, Turner and Diaz",Education,jesse.boyd@Perry.edu
610,2020-10-31,1017,Jesse,Boyd,1980-12-11,514.71,199.0,,14277,"Perry, Turner and Diaz",Education,jesse.boyd@Perry.edu
1130,2019-02-28,1032,Michael,Jones,1950-09-11,498.66,212.0,Florida,10635,House and Sons,Oil and Gas,michael.jones@House.com
1432,2020-04-30,1040,Sara,Ellis,1976-08-19,506.03,192.0,Florida,93757,Riley-Warren,Retail,sara.ellis@Riley.net
747,2020-03-31,1021,Joseph,Martin,1956-08-25,505.31,197.0,Texas,11352,Butler Group,Retail,joseph.martin@Butler.com
1082,2018-02-28,1031,Melissa,Smith,1946-04-06,501.63,211.0,California,10101,Harrison Group,Education,melissa.smith@Harrison.edu
548,2018-08-31,1016,James,Ward,1970-01-10,512.29,213.0,Texas,12962,Harrison-Mitchell,Retail,james.ward@Harrison.net
362,2018-02-28,1011,David,Chavez,1976-03-17,509.39,191.0,Texas,13706,Glenn-Vincent,Retail,david.chavez@Glenn.io
1008,2020-12-31,1028,Mary,Rodriguez,1953-02-10,506.09,202.0,Texas,10926,Newton PLC,Education,mary.rodriguez@Newton.edu
1164,2018-12-31,1033,Michael,Hudson,1984-03-27,499.87,207.0,Pennsylvania,14673,"Jackson, Hall and Pittman",Oil and Gas,michael.hudson@Jackson.com
1019,2018-11-30,1029,Melissa,Kelley,1982-09-22,480.56,205.0,Florida,14491,"Jones, George and Obrien",Retail,melissa.kelley@Jones.net
409,2019-01-31,1012,David,Wells,1977-09-20,504.52,206.0,Florida,13888,Adams-Rice,IT,david.wells@Adams.net
1011,2018-03-31,1029,Melissa,Kelley,1982-09-22,506.48,196.0,Florida,14491,"Jones, George and Obrien",Retail,melissa.kelley@Jones.net
228,2018-12-31,1007,Christopher,Nguyen,1967-06-18,498.01,203.0,Pennsylvania,12653,Gould-Foster,Retail,christopher.nguyen@Gould.io
827,2020-11-30,1023,Kenneth,Buckley,1965-02-25,505.73,189.0,Florida,12375,Stafford-Miller,Oil and Gas,kenneth.buckley@Stafford.com
1647,2020-03-31,1046,Tim,Beasley,1950-08-16,507.15,208.0,New Yoke,90626,Ross PLC,IT,tim.beasley@Ross.io
1474,2020-10-31,1041,Sarah,James,1971-05-10,513.2,193.0,New Yoke,93122,Cook-Riddle,Oil and Gas,sarah.james@Cook.net
1095,2019-03-31,1031,Melissa,Smith,1946-04-06,498.14,208.0,California,10101,Harrison Group,Education,melissa.smith@Harrison.edu
195,2019-03-31,1006,Chad,Leon,1984-06-22,506.59,191.0,California,14701,"Short, Washington and Green",Education,chad.leon@Short.edu
825,2020-09-30,1023,Kenneth,Buckley,1965-02-25,489.32,201.0,Florida,12375,Stafford-Miller,Oil and Gas,kenneth.buckley@Stafford.com
61,2020-01-31,1002,Ashley,Blanchard,1949-04-10,492.46,197.0,New Yoke,10464,Davis LLC,Education,ashley.blanchard@Davis.edu
1515,2018-03-31,1043,Taylor,Johnson,1948-01-19,495.83,197.0,Pennsylvania,90316,Mitchell and Sons,IT,taylor.johnson@Mitchell.com
1740,2018-12-31,1049,Tyler,Jones,1949-12-23,476.71,210.0,California,90548,Cooper Inc,Education,tyler.jones@Cooper.edu
162,2019-06-30,1005,Brittany,Dean,1987-10-25,490.03,207.0,Florida,12093,"Scott, Howard and Vaughn",IT,brittany.dean@Scott.io
901,2018-01-31,1026,Marcus,Burgess,1996-04-12,495.53,197.0,New Yoke,11661,"Knox, Keller and Reynolds",Financial,marcus.burgess@Knox.com
1394,2020-02-29,1039,Samantha,Clark,1959-09-15,473.99,204.0,Texas,91720,Green Inc,Retail,samantha.clark@Green.net
302,2019-02-28,1009,Darrell,Ford,1976-12-07,485.29,204.0,Pennsylvania,13793,Austin-Adams,Education,darrell.ford@Austin.edu
1185,2020-09-30,1033,Michael,Hudson,1984-03-27,501.0,182.0,Pennsylvania,14673,"Jackson, Hall and Pittman",Oil and Gas,michael.hudson@Jackson.com
352,2020-04-30,1010,David,Duncan,1984-04-23,509.2,200.0,Texas,14681,"Johnson, Olson and Smith",Education,david.duncan@Johnson.edu
671,2019-11-30,1019,Joel,Byrd,1991-07-04,481.05,206.0,California,10355,"Williams, Woodard and Martinez",IT,joel.byrd@Williams.io
127,2019-07-31,1004,Brian,Young,1961-06-28,516.28,205.0,California,11934,Turner Ltd,Education,brian.young@Turner.edu
1353,2019-09-30,1038,Ricky,Fowler,1988-12-10,475.02,213.0,Texas,95239,"Fisher, Webster and Garcia",Education,ricky.fowler@Fisher.edu
310,2019-10-31,1009,Darrell,Ford,1976-12-07,494.0,196.0,Pennsylvania,13793,Austin-Adams,Education,darrell.ford@Austin.edu
906,2018-06-30,1026,Marcus,Burgess,1996-04-12,491.68,201.0,New Yoke,11661,"Knox, Keller and Reynolds",Financial,marcus.burgess@Knox.com
99,2020-03-31,1003,Brenda,Young,1961-08-14,493.8,208.0,California,11950,Watkins and Sons,Retail,brenda.young@Watkins.net
203,2019-11-30,1006,Chad,Leon,1984-06-22,494.38,199.0,California,14701,"Short, Washington and Green",Education,chad.leon@Short.edu
349,2020-01-31,1010,David,Duncan,1984-04-23,504.61,200.0,Texas,14681,"Johnson, Olson and Smith",Education,david.duncan@Johnson.edu
1551,2018-03-31,1044,Theresa,Ortiz,1973-03-24,484.74,190.0,Pennsylvania,93347,Meyer-Miles,Financial,theresa.ortiz@Meyer.net
954,2019-06-30,1027,Mary,Wong,1989-07-22,509.1,200.0,Florida,13932,"Castillo, Ramirez and Mitchell",Oil and Gas,mary.wong@Castillo.net
1288,2020-04-30,1036,Rachel,Murphy,1967-10-17,487.22,189.0,California,12693,Brown-Smith,Education,rachel.murphy@Brown.edu
963,2020-03-31,1027,Mary,Wong,1989-07-22,496.85,200.0,Florida,13932,"Castillo, Ramirez and Mitchell",Oil and Gas,mary.wong@Castillo.net
1631,2018-11-30,1046,Tim,Beasley,1950-08-16,505.58,205.0,New Yoke,90626,Ross PLC,IT,tim.beasley@Ross.io
1411,2018-07-31,1040,Sara,Ellis,1976-08-19,492.24,219.0,Florida,93757,Riley-Warren,Retail,sara.ellis@Riley.net
386,2020-02-29,1011,David,Chavez,1976-03-17,498.16,202.0,Texas,13706,Glenn-Vincent,Retail,david.chavez@Glenn.io
419,2019-11-30,1012,David,Wells,1977-09-20,503.1,192.0,Florida,13888,Adams-Rice,IT,david.wells@Adams.net
1438,2020-10-31,1040,Sara,Ellis,1976-08-19,505.04,202.0,Florida,93757,Riley-Warren,Retail,sara.ellis@Riley.net
984,2018-12-31,1028,Mary,Rodriguez,1953-02-10,499.47,206.0,Texas,10926,Newton PLC,Education,mary.rodriguez@Newton.edu
1636,2019-04-30,1046,Tim,Beasley,1950-08-16,494.13,204.0,New Yoke,90626,Ross PLC,IT,tim.beasley@Ross.io
704,2019-08-31,1020,John,Bullock,1994-08-12,514.49,191.0,Florida,11239,"Parks, Miranda and Conway",IT,john.bullock@Parks.io
332,2018-08-31,1010,David,Duncan,1984-04-23,511.22,187.0,Texas,14681,"Johnson, Olson and Smith",Education,david.duncan@Johnson.edu
1125,2018-09-30,1032,Michael,Jones,1950-09-11,502.76,196.0,Florida,10635,House and Sons,Oil and Gas,michael.jones@House.com
187,2018-07-31,1006,Chad,Leon,1984-06-22,505.63,190.0,California,14701,"Short, Washington and Green",Education,chad.leon@Short.edu
83,2018-11-30,1003,Brenda,Young,1961-08-14,501.87,206.0,California,11950,Watkins and Sons,Retail,brenda.young@Watkins.net
376,2019-04-30,1011,David,Chavez,1976-03-17,505.64,202.0,Texas,13706,Glenn-Vincent,Retail,david.chavez@Glenn.io
952,2019-04-30,1027,Mary,Wong,1989-07-22,502.33,189.0,Florida,13932,"Castillo, Ramirez and Mitchell",Oil and Gas,mary.wong@Castillo.net
326,2018-02-28,1010,David,Duncan,1984-04-23,509.56,204.0,Texas,14681,"Johnson, Olson and Smith",Education,david.duncan@Johnson.edu
1775,2018-11-30,1050,Vincent,Jimenez,1979-04-14,501.47,208.0,New Yoke,94076,Foley-Diaz,Oil and Gas,vincent.jimenez@Foley.com
293,2018-05-31,1009,Darrell,Ford,1976-12-07,504.92,214.0,Pennsylvania,13793,Austin-Adams,Education,darrell.ford@Austin.edu
1753,2020-01-31,1049,Tyler,Jones,1949-12-23,513.07,212.0,California,90548,Cooper Inc,Education,tyler.jones@Cooper.edu
1622,2018-02-28,1046,Tim,Beasley,1950-08-16,489.29,192.0,New Yoke,90626,Ross PLC,IT,tim.beasley@Ross.io
182,2018-02-28,1006,Chad,Leon,1984-06-22,503.14,202.0,California,14701,"Short, Washington and Green",Education,chad.leon@Short.edu
1207,2019-07-31,1034,Michele,Rice,1981-06-02,522.3,199.0,Texas,14334,"Kelly, Johnson and Perez",Oil and Gas,michele.rice@Kelly.net
892,2020-04-30,1025,Kristin,Bennett,1971-01-29,498.08,206.0,Pennsylvania,13089,Mack-Bridges,IT,kristin.bennett@Mack.io
422,2020-02-29,1012,David,Wells,1977-09-20,516.13,193.0,Florida,13888,Adams-Rice,IT,david.wells@Adams.net
781,2020-01-31,1022,Karen,Mullen,1954-12-23,506.78,190.0,Pennsylvania,11150,Sanchez PLC,Oil and Gas,karen.mullen@Sanchez.com
818,2020-02-29,1023,Kenneth,Buckley,1965-02-25,497.76,202.0,Florida,12375,Stafford-Miller,Oil and Gas,kenneth.buckley@Stafford.com
1121,2018-05-31,1032,Michael,Jones,1950-09-11,493.09,204.0,Florida,10635,House and Sons,Oil and Gas,michael.jones@House.com
928,2020-04-30,1026,Marcus,Burgess,1996-04-12,491.29,195.0,New Yoke,11661,"Knox, Keller and Reynolds",Financial,marcus.burgess@Knox.com
1179,2020-03-31,1033,Michael,Hudson,1984-03-27,486.76,204.0,Pennsylvania,14673,"Jackson, Hall and Pittman",Oil and Gas,michael.hudson@Jackson.com
649,2018-01-31,1019,Joel,Byrd,1991-07-04,494.91,194.0,California,10355,"Williams, Woodard and Martinez",IT,joel.byrd@Williams.io
1094,2019-02-28,1031,Melissa,Smith,1946-04-06,501.97,199.0,California,10101,Harrison Group,Education,melissa.smith@Harrison.edu
425,2020-05-31,1012,David,Wells,1977-09-20,520.55,205.0,Florida,13888,Adams-Rice,IT,david.wells@Adams.net
134,2020-02-29,1004,Brian,Young,1961-06-28,505.51,204.0,California,11934,Turner Ltd,Education,brian.young@Turner.edu
